imię,nazwisko,pozycja,wiek,klub,liga,kraj,data_pobrania
Javier,Ajenjo Hyjek,12.01.01,186 / 76,CP Cacereño,N/A,N/A,2025-11-09 20:19:58
Karol,Angielski,20.03.96,177 / 70,AEK (Larnaka),N/A,N/A,2025-11-09 20:19:58
Artur,Balicki,11.10.99,184 / 77,KFK (Kópavogur),N/A,N/A,2025-11-09 20:19:58
Daniel,Baran,16.09.06,188 / 79,North Texas SC,N/A,N/A,2025-11-09 20:19:58
Mariusz,Baranowski,04.02.89,180 / 71,KFK (Kópavogur),N/A,N/A,2025-11-09 20:19:58
Jan,Bednarek,12.04.96,189 / 77,FC Porto,N/A,N/A,2025-11-09 20:19:58
Filip,Bednarek,26.09.92,188 / 81,Sparta Rotterdam,N/A,N/A,2025-11-09 20:19:58
Łukasz,Bejger,11.01.02,190 / 76,NK Celje,N/A,N/A,2025-11-09 20:19:58
Dawid,Bembnista,12.01.07,189,Empoli FC,N/A,N/A,2025-11-09 20:19:58
Adrian,Benedyczak,24.11.00,187,Parma Calcio 1913,N/A,N/A,2025-11-09 20:19:58
Bartosz,Bereszyński,12.07.92,182 / 72,Palermo FC,N/A,N/A,2025-11-09 20:19:58
Kacper,Białek,15.01.08,brak danych,Glacis United FC,N/A,N/A,2025-11-09 20:19:58
Bartosz,Białek,11.11.01,191 / 84,SV Darmstadt 98,N/A,N/A,2025-11-09 20:19:58
Daniel,Bielica,30.04.99,189 / 76,NAC (Breda),N/A,N/A,2025-11-09 20:19:58
Krystian,Bielik,04.01.98,189 / 88,Birmingham City FC,N/A,N/A,2025-11-09 20:19:58
Wiktor,Bogacz,14.07.04,193 / 76,New York Red Bulls,N/A,N/A,2025-11-09 20:19:58
Mateusz,Bogusz,22.08.01,175 / 68,CDSyC Cruz Azul,N/A,N/A,2025-11-09 20:19:58
Maksymilian,Boruc,15.11.02,195 / 72,FC Helsingør,N/A,N/A,2025-11-09 20:19:58
Karol,Borys,28.09.06,174 / 69,NK Maribor,N/A,N/A,2025-11-09 20:19:58
