name,club,league,country,level,source_date
Matty Cash,Aston Villa,Premier League,Anglia,1,2025-11-09
Łukasz Fabiański,West Ham United,Premier League,Anglia,1,2025-11-09
Wojciech Szczęsny,FC Barcelona,La Liga,Hiszpania,1,2025-11-09
Piotr Zieliński,Inter Mediolan,Serie A,Włochy,1,2025-11-09
Nicola Zalewski,AS Roma,Serie A,Włochy,1,2025-11-09
Arkadiusz Milik,Juventus,Serie A,Włochy,1,2025-11-09
Łukasz Skorupski,Bologna,Serie A,Włochy,1,2025-11-09
Filip Marchwiński,Lecce,Serie A,Włochy,1,2025-11-09
Paweł Dawidowicz,Hellas Verona,Serie A,Włochy,1,2025-11-09
Adrian Benedyczak,Parma,Serie A,Włochy,1,2025-11-09
Mateusz Kowalski,Parma,Serie A,Włochy,1,2025-11-09
Sebastian Walukiewicz,Torino,Serie A,Włochy,1,2025-11-09
Adam Buksa,Udinese,Serie A,Włochy,1,2025-11-09
Jakub Piotrowski,Udinese,Serie A,Włochy,1,2025-11-09
Kamil Grabara,VfL Wolfsburg,Bundesliga,Niemcy,1,2025-11-09
Jakub Zieliński,VfL Wolfsburg,Bundesliga,Niemcy,1,2025-11-09
Jakub Kamiński,1. FC Köln,Bundesliga,Niemcy,1,2025-11-09
Arkadiusz Pyrka,FC St. Pauli,Bundesliga,Niemcy,1,2025-11-09
Adam Dźwigała,FC St. Pauli,Bundesliga,Niemcy,1,2025-11-09
Kacper Potulski,FSV Mainz 05,Bundesliga,Niemcy,1,2025-11-09
Radosław Majecki,AS Monaco,Ligue 1,Francja,1,2025-11-09
Przemysław Frankowski,Stade Rennes,Ligue 1,Francja,1,2025-11-09
Max Oyedele,RC Strasbourg,Ligue 1,Francja,1,2025-11-09
Jakub Stolarczyk,Leicester City,Championship,Anglia,2,2025-11-09
Przemysław Płacheta,Oxford United,Championship,Anglia,2,2025-11-09
Michał Helik,Oxford United,Championship,Anglia,2,2025-11-09
Krystian Bielik,West Bromwich Albion,Championship,Anglia,2,2025-11-09
Olaf Kobacki,Sheffield Wednesday,Championship,Anglia,2,2025-11-09
Kacper Pasiek,Preston North End,Championship,Anglia,2,2025-11-09
Bartosz Bereszyński,Sampdoria,Serie B,Włochy,2,2025-11-09
Przemysław Wiśniewski,Spezia,Serie B,Włochy,2,2025-11-09
Szymon Żurkowski,Spezia,Serie B,Włochy,2,2025-11-09
Patryk Peda,Palermo,Serie B,Włochy,2,2025-11-09
Thiago Cionek,US Avellino,Serie B,Włochy,2,2025-11-09
Bartosz Białek,SV Darmstadt 98,2. Bundesliga,Niemcy,2,2025-11-09
